x,y,z,utc,rm,dbm,tx_gain,cable_loss
1.0335089111328124,0.4536006164550781,2.27285009765625,13:32:11,"[0.8268057703971863, 0.5621347427368164, 0.019917957484722137, -0.5623034238815308, 0.8269227147102356, 0.0037020882591605186, -0.014389538206160069, -0.014260843396186829, 0.9997947812080383]",-37.1357277393012,100,3.72
1.03211181640625,0.4526517333984375,2.272697509765625,13:32:14,"[0.827835202217102, 0.5605561137199402, 0.021580444648861885, -0.5607348084449768, 0.827990710735321, 0.0028135967440903187, -0.01629122905433178, -0.014430101029574871, 0.9997631311416626]",-36.867508213130975,100,3.72
1.031752685546875,0.452826171875,2.272727783203125,13:32:15,"[0.8281052112579346, 0.560166597366333, 0.021334247663617134, -0.5603374242782593, 0.8282604813575745, 0.0025535619352012873, -0.016239894554018974, -0.014068994671106339, 0.9997691512107849]",-35.676724380245545,100,3.72
1.0317918701171875,0.4526233825683594,2.272716552734375,13:32:17,"[0.8279565572738647, 0.5603901743888855, 0.021231863647699356, -0.5605635046958923, 0.828106701374054, 0.0027963656466454268, -0.016015194356441498, -0.014217077754437923, 0.9997706413269043]",-34.05880205169338,100,3.72
1.03173876953125,0.45237997436523436,2.2727109375,13:32:18,"[0.8280022740364075, 0.560310423374176, 0.021552087739109993, -0.5604889392852783, 0.8281570672988892, 0.0028339670971035957, -0.01626061275601387, -0.01442623883485794, 0.9997637271881104]",-34.62644679735551,100,3.72
1.031908203125,0.4523909606933594,2.272675537109375,13:32:20,"[0.8275866508483887, 0.5609241127967834, 0.02155200205743313, -0.5611050128936768, 0.8277392387390137, 0.002975406823679805, -0.016170460730791092, -0.014555343426764011, 0.9997633099555969]",-34.848275426709606,100,3.72
1.0316422119140625,0.45237042236328123,2.2727001953125,13:32:21,"[0.828100323677063, 0.5601533651351929, 0.021864544600248337, -0.5603346824645996, 0.8282617926597595, 0.0027311646845191717, -0.01657969504594803, -0.014513141475617886, 0.9997572302818298]",-34.74390718827385,100,3.72
1.0309017333984376,0.452152099609375,2.272723876953125,13:32:25,"[0.8278117179870605, 0.5605380535125732, 0.022910993546247482, -0.5607337951660156, 0.8279918432235718, 0.002664702944457531, -0.01747644878923893, -0.015052840113639832, 0.9997339844703674]",-34.672163427751954,100,3.72
1.031644287109375,0.4535380859375,2.272914794921875,13:32:26,"[0.8269756436347961, 0.5618556141853333, 0.020724855363368988, -0.5620231628417969, 0.8271164894104004, 0.002868520561605692, -0.01553017646074295, -0.014020046219229698, 0.9997811317443848]",-34.672163427751954,100,3.72
1.031915283203125,0.4512886352539062,2.2726796875,13:32:27,"[0.8245071768760681, 0.5653867721557617, 0.022927604615688324, -0.5656124353408813, 0.8246597051620483, 0.004353055730462074, -0.0164463110268116, -0.01655726321041584, 0.9997276663780212]",-35.529486746862055,100,3.72
1.03084033203125,0.4527699890136719,2.27302978515625,13:32:28,"[0.8259196281433105, 0.5633203983306885, 0.022953996434807777, -0.5635262727737427, 0.826092004776001, 0.0031771748326718807, -0.017172345891594887, -0.015559270977973938, 0.9997314810752869]",-35.256685624284216,100,3.72
1.030899658203125,0.45258306884765626,2.272984375,13:32:30,"[0.8257201313972473, 0.5636187791824341, 0.02280653640627861, -0.563826322555542, 0.8258863687515259, 0.0034059162717312574, -0.01691596768796444, -0.01567125879228115, 0.999734103679657]",-35.72113962348914,100,3.72
1.031346923828125,0.45200601196289064,2.27274609375,13:32:31,"[0.8271968960762024, 0.5614500641822815, 0.022785011678934097, -0.5616516470909119, 0.8273680210113525, 0.0031018247827887535, -0.0171100702136755, -0.015363059006631374, 0.9997355937957764]",-34.810833219562895,100,3.72
1.03165380859375,0.4527869567871094,2.273001708984375,13:32:32,"[0.8260769844055176, 0.5631799697875977, 0.020618421956896782, -0.5633550882339478, 0.8262077569961548, 0.0034425430931150913, -0.015096327289938927, -0.014459297992289066, 0.9997814893722534]",-34.49472560558364,100,3.72
1.03204833984375,0.4528091125488281,2.27289453125,13:32:33,"[0.8277929425239563, 0.5606451034545898, 0.020878002047538757, -0.5608168840408325, 0.8279343843460083, 0.003014202229678631, -0.015595718286931515, -0.014203871600329876, 0.9997774958610535]",-34.49472560558364,100,3.72
1.0314063720703126,0.4524029235839844,2.27298486328125,13:32:34,"[0.8264508247375488, 0.562634289264679, 0.02053661085665226, -0.562810480594635, 0.8265780806541443, 0.0036049215123057365, -0.014946859329938889, -0.014537510462105274, 0.9997826218605042]",-34.414418729042055,100,3.72
1.0317293701171875,0.452542724609375,2.27298828125,13:32:35,"[0.8259536623954773, 0.5633643865585327, 0.020520806312561035, -0.5635424852371216, 0.8260785937309265, 0.0037409502547234297, -0.014844280667603016, -0.014654198661446571, 0.9997824430465698]",-34.53915680965112,100,3.72
1.0317789306640626,0.4525739135742187,2.272867431640625,13:32:39,"[0.8270549178123474, 0.5617081522941589, 0.021544279530644417, -0.5618927478790283, 0.8272039294242859, 0.003201843937858939, -0.01602301001548767, -0.0147536750882864, 0.999762773513794]",-36.50244043686687,100,3.72
1.0316915283203125,0.4528132629394531,2.272915771484375,13:32:40,"[0.8278432488441467, 0.5605730414390564, 0.020818611606955528, -0.5607420206069946, 0.8279855251312256, 0.002889287658035755, -0.015617852099239826, -0.014065747149288654, 0.9997791051864624]",-36.0907514175797,100,3.72
1.0313709716796875,0.4510511779785156,2.272725341796875,13:32:41,"[0.8247159123420715, 0.5650613903999329, 0.023435747250914574, -0.5652931928634644, 0.8248792290687561, 0.004218956921249628, -0.01694769226014614, -0.01672750897705555, 0.9997164607048035]",-35.420516532538485,100,3.72
1.0256162109375,0.45303814697265626,2.271824951171875,13:32:42,"[0.8285031914710999, 0.5577857494354248, 0.0495733805000782, -0.5581706166267395, 0.8296966552734375, -0.0069966851733624935, -0.045033521950244904, -0.021873630583286285, 0.9987459778785706]",-35.78205511518945,100,3.72
1.0235814208984375,0.45457064819335935,2.2728681640625,13:32:51,"[0.8413112163543701, 0.5392975807189941, 0.03679090365767479, -0.5395036339759827, 0.841968834400177, -0.004929099231958389, -0.03363504633307457, -0.01570191979408264, 0.9993108510971069]",-36.4682887187318,100,3.72
1.02576806640625,0.4531470642089844,2.271861328125,13:32:52,"[0.8286105394363403, 0.5576409101486206, 0.04940822347998619, -0.5580199956893921, 0.829797625541687, -0.007040097378194332, -0.044924672693014145, -0.021737277507781982, 0.9987538456916809]",-36.4682887187318,100,3.72
1.0234000854492187,0.4518822021484375,2.271680908203125,13:32:53,"[0.8287514448165894, 0.5569745898246765, 0.0543166846036911, -0.5574249625205994, 0.8301899433135986, -0.007879435084760189, -0.04948181286454201, -0.023747382685542107, 0.9984926581382751]",-35.65221752404935,100,3.72
1.02491650390625,0.4524414672851563,2.27174951171875,13:32:55,"[0.8281724452972412, 0.5581241250038147, 0.051262613385915756, -0.5585392713546753, 0.8294470906257629, -0.007170212455093861, -0.046521496027708054, -0.02269401028752327, 0.9986594915390015]",-36.04456649977465,100,3.72
1.0253486328125,0.45328955078125,2.27108349609375,13:32:56,"[0.8345263004302979, 0.5471752882003784, 0.06453721970319748, -0.5469407439231873, 0.836860179901123, -0.02282080613076687, -0.0664956122636795, -0.016253475099802017, 0.9976543188095093]",-35.01749380550591,100,3.72
1.3246563720703124,0.4280224304199219,2.266656982421875,13:32:57,"[0.8378775715827942, 0.544910192489624, 0.032155975699424744, -0.5454042553901672, 0.8381288647651672, 0.008615528233349323, -0.022256162017583847, -0.024756764993071556, 0.9994457364082336]",-32.82031385957538,100,3.72
1.3346964111328126,0.42779412841796877,2.265994873046875,13:32:59,"[0.805808961391449, 0.59067702293396, 0.042102109640836716, -0.5912958979606628, 0.8064496517181396, 0.0028557279147207737, -0.032266419380903244, -0.027195977047085762, 0.9991092085838318]",-36.463942291236,100,3.72
1.3333155517578126,0.42732412719726565,2.265886962890625,13:33:01,"[0.8061924576759338, 0.5900538563728333, 0.04347549006342888, -0.5906975269317627, 0.8068892955780029, 0.0024783203843981028, -0.03361756354570389, -0.02767886593937874, 0.9990513920783997]",-36.364603813159526,100,3.72
1.33364013671875,0.4272045288085938,2.265975341796875,13:33:05,"[0.8061513304710388, 0.5903149843215942, 0.04059799015522003, -0.5909148454666138, 0.8067260980606079, 0.0035550203174352646, -0.03065287508070469, -0.026855841279029846, 0.9991692304611206]",-36.194942349197355,100,3.72
1.3623720703125,0.41557275390625,2.265654541015625,13:33:06,"[0.8087247014045715, 0.5877189636230469, 0.023468326777219772, -0.588179886341095, 0.8082708716392517, 0.0272505059838295, -0.0029531263280659914, -0.03584175556898117, 0.9993531107902527]",-36.30628935412758,100,3.72
1.33731982421875,0.4263363952636719,2.265410400390625,13:33:07,"[0.933108389377594, 0.35878756642341614, 0.02408762462437153, -0.3591861128807068, 0.9331477880477905, 0.014852496795356274, -0.017148422077298164, -0.02251092903316021, 0.9995995163917542]",-40.21123879793771,100,3.72
