x,y,z,utc,rm,dbm,tx_gain,cable_loss
0.025721906661987304,0.46242074584960935,1.3127181396484375,13:02:17,"[0.9957234263420105, 0.09128996729850769, -0.014176287688314915, -0.09106357395648956, 0.9957185983657837, 0.01587037928402424, 0.015564399771392345, -0.014511564746499062, 0.9997735619544983]",-32.905059138162905,100,3.72
0.027788799285888673,0.4672813415527344,1.3133134765625,13:02:18,"[0.995603084564209, 0.09274506568908691, -0.013145902194082737, -0.09259230643510818, 0.9956343173980713, 0.011789257638156414, 0.01418190635740757, -0.010520211420953274, 0.9998440742492676]",-32.905059138162905,100,3.72
0.03964761734008789,0.4850336608886719,1.3167568359375,13:02:19,"[0.9953699111938477, 0.0927792340517044, -0.02511373534798622, -0.09286718815565109, 0.9956757426261902, -0.0023561171256005764, 0.024786537513136864, 0.004677450284361839, 0.999681830406189]",-32.75874874563483,100,3.72
0.03901590347290039,0.48344696044921875,1.3165699462890625,13:02:20,"[0.9952895045280457, 0.09391739964485168, -0.024047741666436195, -0.09395812451839447, 0.9955759644508362, -0.0005667504738084972, 0.023888126015663147, 0.002823561429977417, 0.9997106790542603]",-33.29866820180778,100,3.72
0.039567760467529293,0.48463796997070313,1.3167076416015624,13:02:21,"[0.995248019695282, 0.09378352761268616, -0.026192259043455124, -0.09387535601854324, 0.995581328868866, -0.0022960270289331675, 0.025861194357275963, 0.004743923898786306, 0.9996542930603027]",-33.19062618487745,100,3.72
0.03852035903930664,0.48414093017578125,1.3166026611328125,13:02:22,"[0.9958668351173401, 0.08604822307825089, -0.0290689654648304, -0.08613691478967667, 0.9962816834449768, -0.001810499932616949, 0.028805088251829147, 0.004306927789002657, 0.9995757937431335]",-33.19062618487745,100,3.72
0.02847733688354492,0.4696963806152344,1.3139873046875,13:02:23,"[0.9979271292686462, 0.06113471835851669, -0.020098678767681122, -0.06103665381669998, 0.9981206059455872, 0.005457446910440922, 0.020394545048475266, -0.004219377879053354, 0.9997830986976624]",-33.04898492268357,100,3.72
0.03468585586547852,0.4790493469238281,1.315913818359375,13:02:24,"[0.997566282749176, 0.06433016061782837, -0.026891600340604782, -0.06440498679876328, 0.9979220032691956, -0.0019246070878580213, 0.026711909100413322, 0.0036518762353807688, 0.9996365308761597]",-33.49117023273583,100,3.72
0.03808079528808594,0.4857601623535156,1.3167447509765624,13:02:25,"[0.9980693459510803, 0.05692991614341736, -0.02483166754245758, -0.057005420327186584, 0.9983711242675781, -0.002342804102227092, 0.0246578436344862, 0.0037538204342126846, 0.9996889233589172]",-32.894057395866874,100,3.72
0.034766170501708986,0.48044442749023436,1.31590380859375,13:02:26,"[0.9978629946708679, 0.062373608350753784, -0.019468236714601517, -0.06240876764059067, 0.9980499744415283, -0.0012030989164486527, 0.019355231896042824, 0.0024155164137482643, 0.999809741973877]",-33.249572054024156,100,3.72
0.03623684692382813,0.4827956848144531,1.3163311767578125,13:02:27,"[0.9980878829956055, 0.05826709046959877, -0.020628048107028008, -0.058292824774980545, 0.9982993006706238, -0.0006480104057118297, 0.02055520750582218, 0.0018492385279387236, 0.9997870326042175]",-33.61026155668595,100,3.72
0.037614330291748044,0.48648538208007813,1.3170728759765624,13:02:28,"[0.9980340003967285, 0.057140469551086426, -0.0257504191249609, -0.057244010269641876, 0.9983547329902649, -0.0033012421336025, 0.025519419461488724, 0.004768809303641319, 0.9996629357337952]",-33.26190387215992,100,3.72
0.0376993408203125,0.486671875,1.3170518798828126,13:02:29,"[0.9980137348175049, 0.057458922266960144, -0.02582681179046631, -0.05757348611950874, 0.9983343482017517, -0.003713743994012475, 0.025570405647158623, 0.005193307064473629, 0.999659538269043]",-33.26190387215992,100,3.72
0.028955581665039063,0.471165283203125,1.31454931640625,13:02:30,"[0.9978299736976624, 0.0628836378455162, -0.01951957307755947, -0.06281396746635437, 0.9980165958404541, 0.004162565339356661, 0.019742613658308983, -0.002927430672571063, 0.9998008012771606]",-33.30924166500064,100,3.72
0.027648653030395508,0.47152197265625,1.314431640625,13:02:31,"[0.9981440305709839, 0.05894208699464798, -0.015308325178921223, -0.05890001356601715, 0.9982588291168213, 0.0031851520761847496, 0.01546940952539444, -0.0022775798570364714, 0.9998777508735657]",-33.75962314587841,100,3.72
0.023048151016235353,0.46349627685546874,1.3126322021484376,13:02:32,"[0.998278796672821, 0.05784398317337036, -0.009670938365161419, -0.057726845145225525, 0.998260498046875, 0.0119822071865201, 0.01034721452742815, -0.011403310112655163, 0.9998814463615417]",-33.95023202015633,100,3.72
0.038963497161865236,0.48144442749023436,1.3161434326171875,13:02:33,"[0.9342478513717651, 0.3565696179866791, -0.0062511940486729145, -0.3565357029438019, 0.9342628717422485, 0.005928627215325832, 0.007954226806759834, -0.0033100333530455828, 0.9999628663063049]",-32.76522688980988,100,3.72
0.37169110107421877,0.4492257080078125,1.3184395751953124,13:02:34,"[0.9915387034416199, -0.11779726296663284, -0.05454222485423088, 0.11838420480489731, 0.9929383993148804, 0.007647172547876835, 0.05325625464320183, -0.01403940562158823, 0.9984821677207947]",-34.01877155464775,100,3.72
0.3830841979980469,0.46316769409179687,1.313089111328125,13:02:35,"[0.9902899861335754, -0.13454701006412506, -0.03496995195746422, 0.13503345847129822, 0.9907692074775696, 0.011931437999010086, 0.033041812479496, -0.016537697985768318, 0.9993171095848083]",-34.01877155464775,100,3.72
0.38009619140625,0.46192227172851563,1.3129219970703125,13:02:36,"[0.9903448820114136, -0.13525338470935822, -0.03038892149925232, 0.13572420179843903, 0.9906477928161621, 0.013995255343616009, 0.028211813420057297, -0.01798464171588421, 0.9994401931762695]",-36.77256661675528,100,3.72
0.37733489990234376,0.46454879760742185,1.31312109375,13:02:37,"[0.9898791313171387, -0.13675734400749207, -0.0379038080573082, 0.1372094750404358, 0.9904956817626953, 0.0095830038189888, 0.03623301163315773, -0.014686777256429195, 0.9992354512214661]",-37.03069228287327,100,3.72
0.3684013977050781,0.4810151062011719,1.31194970703125,13:02:38,"[0.9920262098312378, -0.1231486052274704, -0.026803161948919296, 0.12315621227025986, 0.9923863410949707, -0.0013730799546465278, 0.026768183335661888, -0.0019388445653021336, 0.9996398091316223]",-36.86567066571813,100,3.72
0.36822195434570315,0.4805950317382813,1.3117200927734376,13:02:39,"[0.9921090602874756, -0.12280639261007309, -0.025262150913476944, 0.12283141165971756, 0.992427408695221, -0.0005646030185744166, 0.02514018677175045, -0.00254283775575459, 0.9996806979179382]",-35.25707413219329,100,3.72
0.36463250732421876,0.4700735473632813,1.3118995361328125,13:02:40,"[0.9940363168716431, -0.10404153913259506, -0.03266725689172745, 0.10413671284914017, 0.9945622682571411, 0.0012209396809339523, 0.03236259147524834, -0.004615519195795059, 0.9994655251502991]",-36.00749840087411,100,3.72
0.35978390502929686,0.4717255859375,1.3119891357421876,13:02:41,"[0.996344804763794, -0.08286242932081223, -0.020756321027874947, 0.08291660249233246, 0.9965549111366272, 0.0017617092235013843, 0.02053883485496044, -0.0034763135481625795, 0.9997830390930176]",-36.00749840087411,100,3.72
0.35978128051757813,0.4723524169921875,1.3120196533203126,13:02:42,"[0.9963505864143372, -0.08248157054185867, -0.021960997954010963, 0.08252914249897003, 0.996587872505188, 0.0012672536540776491, 0.021781539544463158, -0.0030750513542443514, 0.9997580051422119]",-35.89730442112583,100,3.72
