x,y,z,utc,rm,dbm,tx_gain,cable_loss
0.6610677490234375,1.0240867919921874,1.3961871337890626,13:57:30,"[0.4982564151287079, 0.5415564775466919, -0.6770946383476257, -0.5045031905174255, 0.8162071704864502, 0.2815711796283722, 0.7051361799240112, 0.20130176842212677, 0.6798974275588989]",-32.87424295783552,100,3.72
1.3898604736328124,0.854278076171875,1.549240478515625,13:57:31,"[0.26648572087287903, 0.5102370381355286, -0.817706286907196, -0.48970964550971985, 0.8023973107337952, 0.3410909175872803, 0.830162525177002, 0.30954280495643616, 0.4636954069137573]",-32.87424295783552,100,3.72
1.8487548828125,1.4148590087890625,1.414367431640625,13:57:32,"[-0.2550662159919739, 0.29228997230529785, -0.9216874837875366, -0.7846836447715759, 0.49440833926200867, 0.3739411532878876, 0.5649892091751099, 0.818612813949585, 0.10324828326702118]",-40.68745069124925,100,3.72
2.17018994140625,2.089948974609375,1.2441961669921875,13:57:33,"[-0.6052936911582947, -0.2818737030029297, -0.7444238066673279, -0.5857987403869629, -0.47545093297958374, 0.6563431024551392, -0.538942813873291, 0.8333628177642822, 0.12266620248556137]",-37.031156719424764,100,3.72
2.392484619140625,2.494069091796875,1.3580389404296875,13:57:34,"[0.1834544688463211, -0.7404372692108154, -0.6466042995452881, 0.8492658138275146, 0.4506407678127289, -0.27508261799812317, 0.49506765604019165, -0.49867379665374756, 0.7115001678466797]",-21.263607751388474,100,3.72
2.19426806640625,2.72887451171875,1.1764102783203125,13:57:35,"[0.32031822204589844, -0.7257224917411804, -0.6088703870773315, 0.4687229096889496, 0.6799627542495728, -0.5638700723648071, 0.8232223987579346, -0.10477364808320999, 0.5579671859741211]",-23.36982072183721,100,3.72
2.096685546875,2.849178466796875,1.0514617919921876,13:57:36,"[0.4913162887096405, -0.7074711322784424, -0.5080283880233765, 0.0730983093380928, 0.6147184371948242, -0.7853521108627319, 0.8679083585739136, 0.3487202525138855, 0.35373613238334656]",-27.293317076072043,100,3.72
2.2060380859375,2.5211904296875,1.3063887939453125,13:57:37,"[0.28869545459747314, -0.5778555274009705, -0.7633727192878723, 0.5678196549415588, 0.745302140712738, -0.34943607449531555, 0.770866870880127, -0.3325774371623993, 0.5432830452919006]",-31.522005248326558,100,3.72
2.4006435546875,2.24041015625,1.3752354736328125,13:57:38,"[0.19773444533348083, -0.47746723890304565, -0.8561110496520996, 0.7590256333351135, 0.6272371411323547, -0.1745096892118454, 0.6203073263168335, -0.615303635597229, 0.48643627762794495]",-31.522005248326558,100,3.72
2.658171142578125,1.956333984375,1.389891357421875,13:57:39,"[-0.19735608994960785, -0.47300422191619873, -0.8586719632148743, 0.9772235751152039, -0.1646159142255783, -0.13392424583435059, -0.07800433784723282, -0.8655452728271484, 0.4947188198566437]",-22.574757235432248,100,3.72
2.850397216796875,1.690221923828125,1.3242625732421875,13:57:40,"[-0.36267995834350586, -0.30885010957717896, -0.8792467713356018, 0.9075057506561279, -0.33156847953796387, -0.2578675150871277, -0.21188808977603912, -0.8914448618888855, 0.40053650736808777]",-22.201627597735648,100,3.72
2.898816650390625,1.6799447021484375,1.3689608154296875,13:57:41,"[-0.5050867199897766, -0.2454211711883545, -0.8274393081665039, 0.7475979924201965, -0.6034635901451111, -0.2773606479167938, -0.43125930428504944, -0.7586832046508789, 0.4882778227329254]",-25.860725578090534,100,3.72
2.91120703125,1.60290869140625,1.3484244384765625,13:57:42,"[-0.4742881655693054, -0.24304921925067902, -0.8461546897888184, 0.8141883015632629, -0.48670437932014465, -0.3165694773197174, -0.33488523960113525, -0.839074432849884, 0.4287259578704834]",-28.00640206410201,100,3.72
2.95251220703125,1.608111572265625,1.3366934814453124,13:57:43,"[-0.4932897090911865, -0.25713443756103516, -0.8309916853904724, 0.8329542875289917, -0.41496044397354126, -0.36605319380760193, -0.2507038116455078, -0.8727483749389648, 0.4188769459724426]",-29.718311133098233,100,3.72
2.917123779296875,1.618587890625,1.322927734375,13:57:44,"[-0.47062987089157104, -0.23764175176620483, -0.8497257828712463, 0.8330656886100769, -0.4369773864746094, -0.33919355273246765, -0.2907043993473053, -0.867512047290802, 0.4036257863044739]",-30.269892522067977,100,3.72
2.917458251953125,1.6291195068359374,1.3230487060546876,13:57:45,"[-0.47322115302085876, -0.24969637393951416, -0.8448156118392944, 0.8371540307998657, -0.42605334520339966, -0.3430038392543793, -0.27428972721099854, -0.8695574998855591, 0.4106518030166626]",-30.269892522067977,100,3.72
2.8880390625,1.6311708984375,1.3050601806640625,13:57:46,"[-0.450584352016449, -0.2176322340965271, -0.8658002018928528, 0.8391616344451904, -0.4341583549976349, -0.32758858799934387, -0.3046005368232727, -0.8741526007652283, 0.3782535791397095]",-29.50574773067055,100,3.72
2.910902099609375,1.6702562255859374,1.319335693359375,13:57:47,"[-0.48268362879753113, -0.2525298297405243, -0.8385971784591675, 0.8451104760169983, -0.38554054498672485, -0.37033334374427795, -0.2297929972410202, -0.8874610662460327, 0.3995097279548645]",-28.14462215944467,100,3.72
2.937394287109375,1.6498040771484375,1.3358836669921874,13:57:48,"[-0.48925861716270447, -0.29201939702033997, -0.821797251701355, 0.8451042175292969, -0.3915335536003113, -0.364005982875824, -0.21546436846256256, -0.872597336769104, 0.4383479654788971]",-29.804840215026033,100,3.72
2.879316162109375,1.65852880859375,1.36408203125,13:57:49,"[-0.4031362235546112, -0.265499085187912, -0.875780463218689, 0.8884915709495544, -0.34281226992607117, -0.305061399936676, -0.21923476457595825, -0.9011048674583435, 0.3740937411785126]",-29.82483970014328,100,3.72
2.420969482421875,1.573763916015625,1.198262939453125,13:57:50,"[0.04620293155312538, 0.10684406012296677, -0.993201732635498, 0.753164529800415, -0.6568667888641357, -0.03562610223889351, -0.6562076807022095, -0.7463982701301575, -0.11082033067941666]",-26.87901085158664,100,3.72
2.148749755859375,1.3564945068359375,1.23450732421875,13:57:51,"[-0.08260054141283035, 0.01017238199710846, -0.9965308308601379, 0.3715979754924774, -0.9275199770927429, -0.04026898369193077, -0.9247118830680847, -0.37363508343696594, 0.07283362001180649]",-26.87901085158664,100,3.72
1.6554393310546875,1.2365443115234376,1.15928662109375,13:57:52,"[-0.05751859396696091, 0.10765646398067474, -0.9925228953361511, 0.11473941802978516, -0.9868682026863098, -0.11369248479604721, -0.9917290210723877, -0.12042093276977539, 0.0444108322262764]",-30.008635294988835,100,3.72
1.0040818481445313,1.1554349365234375,1.2516842041015626,13:57:53,"[-0.2450472116470337, 0.7198718786239624, -0.6494123339653015, -0.4294690489768982, -0.6811290383338928, -0.5929751992225647, -0.8691997528076172, 0.1335955709218979, 0.47607144713401794]",-35.91747128200561,100,3.72
0.91462841796875,1.24236474609375,1.2331798095703126,13:57:54,"[0.28884926438331604, 0.7374026775360107, -0.610576331615448, -0.7843460440635681, -0.18342749774456024, -0.5925838947296143, -0.5489693880081177, 0.6500705480575562, 0.525395929813385]",-33.78153518458602,100,3.72
0.88310693359375,1.18765771484375,1.2434361572265624,13:57:55,"[0.24405939877033234, 0.7954220175743103, -0.5547420978546143, -0.7310778498649597, -0.22492745518684387, -0.644152820110321, -0.6371500492095947, 0.562771201133728, 0.5266197919845581]",-28.25751172140583,100,3.72
0.8880086669921875,1.159082763671875,1.2489759521484376,13:57:56,"[0.21903206408023834, 0.8185091018676758, -0.5311005711555481, -0.7252208590507507, -0.22757525742053986, -0.6498185992240906, -0.6527478098869324, 0.5274962782859802, 0.5437535643577576]",-27.757977477599066,100,3.72
0.8930800170898437,1.14706982421875,1.2419462890625,13:57:57,"[0.1864839792251587, 0.8059818148612976, -0.561798095703125, -0.7173442840576172, -0.2790183126926422, -0.638408899307251, -0.6712979078292847, 0.5220556855201721, 0.5261339545249939]",-28.215464964892377,100,3.72
0.9052113647460938,1.14452294921875,1.2440279541015624,13:57:58,"[0.16931557655334473, 0.8079863786697388, -0.5643494129180908, -0.7156051993370056, -0.29294461011886597, -0.634107768535614, -0.6776735186576843, 0.5112157464027405, 0.5285991430282593]",-28.215464964892377,100,3.72
0.9573451538085938,1.16025732421875,1.4589149169921876,13:57:59,"[0.3403366804122925, 0.6276253461837769, -0.7001838088035583, -0.9322335720062256, 0.1278666853904724, -0.3385123908519745, -0.12292877584695816, 0.7679430246353149, 0.628611147403717]",-28.178866618395425,100,3.72
1.0138672485351563,1.085154052734375,1.6863150634765625,13:58:00,"[0.21825921535491943, 0.7291576862335205, -0.6486077308654785, -0.9696668982505798, 0.08709331601858139, -0.22838759422302246, -0.11004117131233215, 0.6787811517715454, 0.7260489463806152]",-29.245577912923125,100,3.72
0.8868062133789063,0.9445491943359375,1.6999515380859376,13:58:01,"[0.43979495763778687, 0.772112250328064, -0.4587189555168152, -0.8961305022239685, 0.4110639691352844, -0.1672617793083191, 0.059417977929115295, 0.4846329391002655, 0.8726972341537476]",-35.64718738158915,100,3.72
0.51061279296875,1.23852490234375,1.5480325927734375,13:58:02,"[0.5671284794807434, 0.7249987721443176, -0.39082229137420654, -0.8084197044372559, 0.39922553300857544, -0.4325234889984131, -0.1575527787208557, 0.5612448453903198, 0.8125154376029968]",-32.55967589477054,100,3.72
0.4775623474121094,0.8399413452148438,1.217321533203125,13:58:03,"[0.941348135471344, 0.21284794807434082, -0.2618386745452881, -0.18230468034744263, 0.973768413066864, 0.13616187870502472, 0.283951997756958, -0.08044131100177765, 0.9554582238197327]",-32.55967589477054,100,3.72
0.3343081970214844,0.5342091064453125,1.1368583984375,13:58:04,"[0.9976769089698792, -0.06003154441714287, -0.03220320865511894, 0.06677764654159546, 0.9553014636039734, 0.28799283504486084, 0.013475120067596436, -0.2894742488861084, 0.9570909738540649]",-33.24809176255711,100,3.72
0.1473087158203125,0.700956298828125,1.1659400634765624,13:58:05,"[0.9969727396965027, 0.0505998358130455, 0.05903354287147522, -0.06034845486283302, 0.9823241233825684, 0.17719294130802155, -0.04902413859963417, -0.1802191138267517, 0.9824040532112122]",-34.963191400978246,100,3.72
-0.009156688690185547,0.53830029296875,0.9599552612304687,13:58:07,"[0.9142678380012512, 0.16355560719966888, -0.37062641978263855, -0.07048175483942032, 0.9651446342468262, 0.25204792618751526, 0.39893195033073425, -0.2043168991804123, 0.8939283490180969]",-28.55116380061132,100,3.72
0.036876869201660153,0.44110684204101563,0.9968345336914063,13:58:08,"[0.9908086657524109, -0.06001231446862221, -0.12122981250286102, 0.1139349564909935, 0.8533344268798828, 0.5087623596191406, 0.07291757315397263, -0.5178984999656677, 0.8523286581039429]",-32.99596099799668,100,3.72
