x,y,z,utc,rm,dbm,tx_gain,cable_loss
1.3919173583984374,0.46629010009765626,2.22859716796875,14:10:52,"[0.954028308391571, 0.2996816039085388, -0.00457830959931016, -0.2996830642223358, 0.9540387392044067, 0.00037831428926438093, 0.004481258802115917, 0.0010111193405464292, 0.9999894499778748]",-34.68264990510908,100,3.72
1.391865478515625,0.4662310791015625,2.22849853515625,14:10:53,"[0.9533632397651672, 0.3017994463443756, -0.003954245708882809, -0.3018025755882263, 0.9533704519271851, -0.00020535974181257188, 0.0037078834138810635, 0.0013891839189454913, 0.9999921321868896]",-34.68264990510908,100,3.72
1.3917779541015625,0.4662625427246094,2.22851806640625,14:10:54,"[0.953327476978302, 0.30190610885620117, -0.004404769279062748, -0.30191028118133545, 0.9533362984657288, -0.0003000320866703987, 0.004108645021915436, 0.0016158740036189556, 0.9999902248382568]",-34.19811729714852,100,3.72
1.39192578125,0.46620892333984376,2.22853173828125,14:10:55,"[0.9531053304672241, 0.3026074767112732, -0.004352127201855183, -0.3026111423969269, 0.9531140923500061, -0.00019534725288394839, 0.004088960122317076, 0.0015031887451186776, 0.9999905228614807]",-34.284073987038056,100,3.72
1.3919217529296875,0.4662047119140625,2.228501708984375,14:10:56,"[0.9532777667045593, 0.3020665943622589, -0.004162326920777559, -0.3020699620246887, 0.9532857537269592, -0.00019532491569407284, 0.003908885642886162, 0.001443512854166329, 0.9999912977218628]",-34.25665702780812,100,3.72
1.3915849609375,0.4662366638183594,2.228631103515625,14:10:57,"[0.9537866115570068, 0.3004450798034668, -0.0048888628371059895, -0.3004462718963623, 0.9537985920906067, 0.0005085765733383596, 0.004815789870917797, 0.0009837669786065817, 0.9999879002571106]",-34.42703677001076,100,3.72
1.3917637939453125,0.4661995849609375,2.2285302734375,14:10:58,"[0.9531348943710327, 0.30251893401145935, -0.004013426601886749, -0.3025220036506653, 0.9531424045562744, -0.00016130198491737247, 0.0037765700835734606, 0.0013678923714905977, 0.9999919533729553]",-34.331056069953355,100,3.72
1.391642822265625,0.46626934814453125,2.22851025390625,14:10:59,"[0.9533833861351013, 0.3017320930957794, -0.004230513237416744, -0.3017359972000122, 0.9533914923667908, -0.0003065553610213101, 0.003940837923437357, 0.0015687630511820316, 0.9999909996986389]",-34.331056069953355,100,3.72
1.392447265625,0.4662038879394531,2.2286005859375,14:11:00,"[0.9532709121704102, 0.30207985639572144, -0.004720436874777079, -0.30208197236061096, 0.9532819390296936, 0.00027943868190050125, 0.004584319889545441, 0.0011595779797062278, 0.9999887943267822]",-34.16884157081384,100,3.72
1.391672119140625,0.46626336669921875,2.228521728515625,14:11:01,"[0.9536781311035156, 0.30080080032348633, -0.004109034780412912, -0.3008038401603699, 0.953685998916626, -0.0001272955269087106, 0.003880438394844532, 0.0013574123149737716, 0.9999915361404419]",-34.409889323508075,100,3.72
