x,y,z,utc,rm,dbm,tx_gain,cable_loss
0.06441533660888672,0.6634137573242187,1.626564697265625,10:36:11,"[0.2522689700126648, -0.6576703786849976, -0.7098098993301392, -0.6264575719833374, -0.6700654029846191, 0.39820003509521484, -0.7375034093856812, 0.34421226382255554, -0.581039309501648]",-36.39344602602357,100,3.72
0.07849700164794922,0.5047379150390625,1.7763873291015626,10:36:13,"[0.9958307147026062, 0.008653411641716957, -0.09080933779478073, -0.008461948484182358, 0.9999610781669617, 0.0024932180531322956, 0.09082737565040588, -0.001714399317279458, 0.9958651661872864]",-36.38591721137815,100,3.72
0.06480825805664063,0.6621679077148438,1.6269832763671874,10:36:14,"[0.24994401633739471, -0.6570834517478943, -0.7111746072769165, -0.6266492605209351, -0.6696950197219849, 0.39852139353752136, -0.7381318807601929, 0.3460490107536316, -0.5791471004486084]",-36.25411836611065,100,3.72
0.221586181640625,0.5104279174804688,1.6086710205078125,10:36:15,"[0.08202365785837173, -0.04775561764836311, 0.9954855442047119, -0.04387954622507095, -0.9980557560920715, -0.044263433665037155, 0.9956639409065247, -0.04005080834031105, -0.0839596763253212]",-36.389038956843635,100,3.72
0.06420942687988282,0.6633795166015625,1.6263319091796875,10:36:17,"[0.2595500946044922, -0.6556573510169983, -0.7090466618537903, -0.6259440183639526, -0.6733196377754211, 0.3934905230998993, -0.7354099750518799, 0.3416930139064789, -0.5851649641990662]",-36.52280003133937,100,3.72
0.062486915588378905,0.6598338623046875,1.6267330322265625,10:36:18,"[0.2617717981338501, -0.653281033039093, -0.7104219794273376, -0.624755859375, -0.6757553815841675, 0.3911966383457184, -0.7356328368186951, 0.3414360582828522, -0.5850348472595215]",-36.52280003133937,100,3.72
0.06281436157226562,0.6604697875976563,1.62682861328125,10:36:19,"[0.25809410214424133, -0.6544072031974792, -0.7107310891151428, -0.6256401538848877, -0.6737782955169678, 0.3931885063648224, -0.7361805438995361, 0.3431822955608368, -0.5833216309547424]",-36.56022487367858,100,3.72
0.06429776000976563,0.6630879516601562,1.626644287109375,10:36:20,"[0.24967995285987854, -0.6576060056686401, -0.7107842564582825, -0.6283067464828491, -0.6685537695884705, 0.39782723784446716, -0.7368110418319702, 0.34726107120513916, -0.5801027417182922]",-36.08960369817804,100,3.72
0.0648461456298828,0.6622073974609375,1.6269300537109375,10:36:21,"[0.2496056854724884, -0.6574095487594604, -0.7109920382499695, -0.6269006133079529, -0.6693053841590881, 0.39878055453300476, -0.7380329370498657, 0.3461834490299225, -0.5791928768157959]",-36.11493186205335,100,3.72
0.06507266235351562,0.6632462158203125,1.62674853515625,10:36:22,"[0.2478242814540863, -0.6580278873443604, -0.7110431790351868, -0.6285125613212585, -0.6677297949790955, 0.39888453483581543, -0.7372618317604065, 0.34804630279541016, -0.5790584683418274]",-36.06937541699934,100,3.72
0.07958085632324219,0.508955078125,1.7770692138671875,10:36:24,"[0.9954003691673279, -0.0011900675017386675, -0.09579512476921082, 0.0010072707664221525, 0.9999975562095642, -0.001956539461389184, 0.09579721838235855, 0.0018510485533624887, 0.9953991770744324]",-36.49497833459368,100,3.72
0.0796526870727539,0.5093838806152344,1.77721240234375,10:36:25,"[0.9952905178070068, 0.00028406831552274525, -0.09693676978349686, -0.0006130044348537922, 0.999994158744812, -0.003363541793078184, 0.09693524241447449, 0.0034071237314492464, 0.9952848553657532]",-36.49497833459368,100,3.72
0.0661499481201172,0.6696318969726562,1.626596435546875,10:36:26,"[-0.6443261504173279, -0.6573626399040222, 0.3907916843891144, -0.2253222018480301, 0.6515046954154968, 0.7244111895561218, -0.7308034896850586, 0.3787029981613159, -0.5678999423980713]",-37.02610028940549,100,3.72
0.07952252197265625,0.5100952453613281,1.7766578369140624,10:36:27,"[0.9955775737762451, 0.0020354322623461485, -0.09392108768224716, -0.002127057174220681, 0.9999973773956299, -0.0008754520677030087, 0.0939190611243248, 0.0010713560041040182, 0.9955792427062988]",-36.64688189775713,100,3.72
