tile,ch,gain_dB
G08,0,73.74202284514485
B08,0,0.0
D08,0,67.53284886464533
F06,1,0.0
D06,0,0.0
A07,1,75.07033342818256
E09,0,0.0
G05,0,0.0
B05,0,0.0
A10,0,0.0
C08,1,0.0
G10,0,0.0
D10,0,0.0
F08,1,0.0
B10,0,0.0
E06,0,0.0
C05,1,0.0
F10,0,0.0
C09,1,0.0
A05,0,0.0
C06,1,58.568859795063226
B06,0,0.0
A08,0,70.58087617661745
E07,0,0.0
F05,1,0.0
D05,0,0.0
E10,0,0.0
E05,0,0.0
C10,1,0.0
G07,0,0.0
A09,0,0.0
F09,1,0.0
B09,0,0.0
A06,0,0.0
F07,0,61.480704086432794
G06,0,71.84524306134448
C07,1,56.45075249603805
D09,0,0.0
D07,0,72.38099634379023
G09,0,0.0
E08,0,0.0
B07,1,0.0
E09,1,0.0
A09,1,0.0
A07,0,0.0
F10,1,0.0
F07,1,0.0
B07,0,0.0
D05,1,0.0
B09,1,0.0
B08,1,0.0
F08,0,55.84395006265178
