tile,ch,gain_dB
B09,0,0.0
E08,0,0.0
G08,0,73.75511407993244
A06,0,0.0
C06,1,0.0
F06,0,0.0
D09,1,0.0
F10,1,0.0
A08,1,74.05612759048063
E05,0,0.0
B06,1,0.0
C09,1,0.0
D05,0,0.0
G05,0,0.0
A10,0,0.0
G10,1,0.0
E09,1,0.0
D06,0,0.0
E07,0,0.0
F08,1,0.0
C07,1,64.08226256743914
D07,0,72.26879299301541
D10,0,0.0
B08,0,0.0
G07,0,0.0
A05,0,0.0
G09,0,0.0
C10,1,0.0
F05,1,0.0
F09,0,0.0
B10,0,0.0
C05,1,0.0
B05,1,0.0
A09,1,0.0
F07,1,61.16274955367668
E10,0,0.0
G06,0,71.8767899465515
E06,0,0.0
D08,0,67.30294967892756
B07,0,0.0
C08,1,58.94676725550973
B06,0,0.0
A07,1,0.0
A06,1,72.16265359343839
A07,0,0.0
F06,1,0.0
A09,0,0.0
F08,0,56.7334043719276
F09,1,0.0
B08,1,0.0
F05,0,0.0
B05,0,0.0
A08,0,0.0
C05,0,0.0
B09,1,0.0
G10,0,0.0
E09,0,0.0
D09,0,0.0
