tile,ch,gain_dB
D05,1,0.0
G08,0,71.35795256684806
A08,0,0.0
D09,0,0.0
E06,0,0.0
B06,0,0.0
B09,1,0.0
F06,1,0.0
F09,1,0.0
C07,1,66.4469194977336
A06,1,72.11872272720089
C10,1,0.0
G10,1,0.0
G05,0,0.0
D07,0,71.5026206973652
E08,0,0.0
A10,0,0.0
C05,1,0.0
D10,0,0.0
E10,0,0.0
E07,0,0.0
G09,0,0.0
B08,1,0.0
G06,0,66.46248941152227
A05,0,0.0
F08,1,0.0
C08,1,59.83109961563177
D06,0,0.0
G07,1,73.79729463737922
E05,0,0.0
F10,0,0.0
F05,1,0.0
B10,0,0.0
B05,0,0.0
A09,1,0.0
C06,1,0.0
D08,0,67.14977615076137
C09,1,0.0
E09,0,0.0
B07,1,0.0
A07,1,0.0
F07,1,0.0
F08,0,0.0
D05,0,0.0
A08,1,74.02058110424935
G06,1,0.0
A09,0,0.0
F10,1,0.0
G07,0,0.0
A07,0,0.0
G05,1,0.0
B08,0,0.0
B09,0,0.0
A06,0,0.0
B07,0,0.0
G10,0,0.0
