tile,ch,gain_dB
C10,1,0.0
E06,0,0.0
A08,0,0.0
G10,0,0.0
F06,0,0.0
C06,1,0.0
E09,0,0.0
B06,0,0.0
G08,0,73.77063883405083
D10,0,0.0
D07,0,72.29315272453076
B09,0,0.0
G05,0,0.0
F10,1,0.0
A06,0,0.0
A10,0,0.0
D05,0,0.0
C08,1,58.3699113345365
C09,1,0.0
F07,1,61.16138557633498
G06,0,71.8777092535188
E08,0,0.0
D09,0,0.0
G07,0,0.0
A05,0,0.0
F05,0,0.0
F09,1,0.0
B07,0,0.0
E05,0,0.0
B05,0,0.0
D06,0,0.0
G09,0,0.0
E10,0,0.0
E07,0,0.0
A07,1,75.08206944501245
F08,1,56.067713432235294
B10,0,0.0
D08,0,67.26653709642787
C07,1,63.56816077461309
A09,0,0.0
C05,1,0.0
B08,0,0.0
F05,1,0.0
A07,0,0.0
F06,1,0.0
A08,1,70.01017384669493
B08,1,0.0
A09,1,0.0
