tile,ch,gain_dB
F10,1,0.0
C09,1,0.0
F06,1,0.0
A07,0,57.41993741862655
D06,0,0.0
A10,0,0.0
B05,0,0.0
D09,1,66.04799787207776
G09,0,0.0
E08,0,51.029607994879065
B08,1,0.0
G07,0,0.0
C07,1,0.0
E07,0,57.839616824232635
E06,0,0.0
C05,1,0.0
A05,0,0.0
E09,0,0.0
B10,0,0.0
G05,0,0.0
F08,1,0.0
A08,1,74.02418936398936
D07,0,72.7476335474588
B07,0,0.0
E05,0,0.0
G10,0,0.0
F05,1,0.0
C06,1,0.0
E10,0,0.0
A09,0,0.0
D10,0,0.0
G06,0,71.78221072230846
B06,0,0.0
F07,1,0.0
C08,1,0.0
D05,0,0.0
A06,0,72.63678016684943
C10,1,0.0
G08,0,73.74050554987593
F09,1,0.0
A08,0,0.0
F07,0,63.068995401787674
