tile,ch,gain_dB
C09,1,0.0
F09,0,0.0
A07,0,0.0
E06,0,0.0
G06,0,71.93559764558975
B06,1,0.0
D09,0,0.0
B09,1,0.0
C06,1,0.0
G09,0,0.0
D06,0,0.0
E09,0,0.0
A10,0,0.0
F07,1,0.0
F05,1,0.0
A05,0,0.0
F10,1,0.0
G07,0,0.0
C07,1,0.0
E07,0,0.0
G10,0,0.0
A09,1,0.0
C05,1,0.0
D08,0,64.33340440982997
B07,1,0.0
E08,1,0.0
D10,0,0.0
E05,0,0.0
B10,0,0.0
G05,0,0.0
B05,0,0.0
F08,1,0.0
C10,1,0.0
G08,0,65.32536296680163
E10,0,0.0
D05,0,0.0
D07,0,72.3656254497991
B08,0,0.0
A06,1,72.17642520225044
C08,1,65.60412583626892
A08,1,74.01613492571514
A06,0,0.0
F06,1,0.0
B09,0,0.0
E08,0,0.0
B06,0,0.0
A09,0,0.0
A08,0,0.0
C06,0,60.86921179587105
A10,1,0.0
F06,0,0.0
B08,1,0.0
F10,0,0.0
F09,1,0.0
B07,0,0.0
E09,1,0.0
G08,1,73.5646086571593
