tile,ch,gain_dB
F06,1,0.0
B06,0,0.0
D09,0,0.0
G09,0,0.0
B09,0,0.0
D05,0,0.0
C07,1,0.0
A08,0,71.79488375730674
E08,0,56.52559467651709
G07,0,0.0
F09,1,0.0
E06,0,0.0
C09,1,0.0
A06,0,0.0
G05,0,0.0
E10,0,0.0
A10,0,0.0
B08,0,0.0
D08,0,67.30337963651716
C06,1,59.811060655735275
D07,0,72.35462497571251
B10,0,0.0
C05,1,0.0
B05,0,0.0
C10,1,0.0
G10,0,0.0
A05,0,0.0
F07,1,61.007376644640516
D10,0,0.0
E09,0,0.0
G08,0,73.78959590846462
E05,0,0.0
F10,1,0.0
G06,0,71.87972452889471
E07,0,0.0
A09,1,0.0
F05,1,0.0
C08,1,0.0
A07,0,0.0
D06,0,0.0
F08,1,0.0
B07,0,0.0
A09,0,0.0
B08,1,0.0
A05,1,0.0
A07,1,74.02724680038014
A06,1,65.41259327022645
