tile,ch,gain_dB
B08,1,0.0
F08,0,0.0
E06,0,0.0
D09,1,0.0
B05,1,0.0
G05,0,0.0
C07,0,67.27610465116459
G08,0,72.58065568384298
E09,0,0.0
A09,0,0.0
F06,1,0.0
A06,1,72.14631631388103
D06,0,0.0
C10,1,0.0
F10,0,0.0
D08,0,68.2848322278364
C06,1,0.0
G10,0,0.0
B10,1,0.0
B09,0,0.0
G06,0,12.248175550509764
A05,0,0.0
A08,0,0.0
E08,0,0.0
B06,0,0.0
C08,1,0.0
E05,0,0.0
C09,1,0.0
D10,0,0.0
A10,1,0.0
F09,1,0.0
C05,1,0.0
F05,1,0.0
G09,0,0.0
E07,0,0.0
D05,0,0.0
D07,0,70.97192521131649
E10,0,0.0
G07,0,0.0
A07,0,0.0
F07,0,0.0
B07,1,0.0
A06,0,0.0
B06,1,0.0
A09,1,0.0
B05,0,0.0
A08,1,74.0613852575914
B10,0,0.0
F09,0,0.0
B09,1,0.0
F07,1,0.0
B07,0,0.0
A07,1,0.0
F08,1,0.0
C09,0,0.0
G06,1,72.80209938002196
A10,0,0.0
G09,1,66.69398024023988
F06,0,0.0
D09,0,0.0
B08,0,0.0
F10,1,0.0
D08,1,6.810423632450174
C07,1,0.0
