tile,ch,gain_dB
D08,0,0.0
B08,1,0.0
G07,0,0.0
D05,1,0.0
F10,0,0.0
A06,0,0.0
E09,0,0.0
E07,0,0.0
C10,1,0.0
C06,1,0.0
F05,1,0.0
A10,0,0.0
G09,0,0.0
D10,0,0.0
F08,1,0.0
B06,1,0.0
C08,0,55.646301903656045
E05,0,0.0
G05,0,0.0
B09,1,0.0
E06,0,0.0
A08,1,74.07921142695469
F06,0,0.0
D06,1,68.19351203098134
B10,0,0.0
G10,0,0.0
E10,0,0.0
C05,1,0.0
A05,0,0.0
B05,0,0.0
D07,0,64.84929716828844
A09,0,0.0
G08,1,74.22406478691039
D09,0,0.0
B07,0,0.0
E08,0,0.0
C07,0,61.775118978465905
A07,1,0.0
C09,1,0.0
F07,0,0.0
F09,0,0.0
G06,1,71.83577573912986
F08,0,0.0
A07,0,0.0
A09,1,0.0
A06,1,72.1823027518999
C08,1,0.0
G08,0,0.0
F07,1,0.0
A08,0,3.043988429900068
F09,1,0.0
B08,0,0.0
F10,1,0.0
E07,1,0.0
B09,0,0.0
C06,0,0.0
G05,1,0.0
B07,1,0.0
G06,0,62.22983273187164
G09,1,0.0
F06,1,0.0
B10,1,0.0
D06,0,0.0
B06,0,0.0
D05,0,0.0
D10,1,0.0
D08,1,70.48135592896375
C07,1,0.0
E09,1,0.0
F05,0,0.0
