tile,ch,gain_dB
D09,1,0.0
F07,0,0.0
B06,1,0.0
A10,0,0.0
E07,0,0.0
F10,1,0.0
D05,0,0.0
G09,0,0.0
C06,0,0.0
A08,0,64.1608480973596
G06,1,72.35845197288556
B10,0,0.0
C09,1,0.0
A05,0,0.0
E05,0,0.0
E10,0,0.0
D07,0,12.7421925095285
B07,1,0.0
G07,0,0.0
F09,1,0.0
A06,1,72.0539893841264
G10,0,0.0
F06,1,0.0
E09,1,0.0
B09,0,0.0
C10,1,0.0
C08,0,3.181010878738128
B05,0,0.0
G05,1,0.0
F05,1,0.0
D06,0,0.0
D10,1,0.0
C05,1,0.0
C07,0,46.89042044091511
E06,0,0.0
G08,0,73.79964843094814
B08,1,0.0
A09,1,0.0
D08,1,62.4302656836207
E08,0,63.100441087225434
A07,1,0.0
F08,0,0.0
D09,0,0.0
F09,0,0.0
A07,0,60.43509386020287
B06,0,0.0
B07,0,0.0
A06,0,0.0
A08,1,73.58717615589404
F07,1,0.0
B08,0,0.0
E09,0,0.0
B10,1,0.0
D06,1,0.0
D08,0,65.66528211555442
F06,0,0.0
F08,1,0.0
E07,1,0.0
C08,1,0.0
D10,0,0.0
D07,1,72.29238541447113
A09,0,0.0
D05,1,0.0
C06,1,0.0
G06,0,0.0
B09,1,0.0
G05,0,0.0
C07,1,0.0
F10,0,0.0
