tile,ch,gain_dB
E06,0,0.0
A08,0,57.208696687323894
G10,1,0.0
D07,0,0.0
F07,0,0.0
D10,0,0.0
A06,1,71.8151390596274
C05,1,0.0
E09,0,0.0
B08,1,0.0
G05,0,0.0
F10,1,0.0
C10,1,0.0
G08,0,0.0
C08,0,51.67832243214548
B06,0,0.0
F05,0,0.0
A10,0,0.0
D05,1,0.0
E07,0,0.0
B10,1,0.0
E10,0,0.0
D06,1,69.36423650733539
F09,1,0.0
D09,0,0.0
C07,1,0.0
G07,1,0.0
A09,1,0.0
A05,0,0.0
B09,0,0.0
G09,1,0.0
F06,0,0.0
A07,0,64.79567662262755
B05,1,0.0
E05,0,0.0
G06,1,72.1766909249398
D08,1,71.23445002237239
F08,0,0.0
C09,1,0.0
E08,0,0.0
B07,1,0.0
C06,0,0.0
A06,0,0.0
D08,0,0.0
F05,1,0.0
B05,0,0.0
F07,1,0.0
A08,1,73.77858808993578
A09,0,0.0
B08,0,0.0
F08,1,0.0
F09,0,0.0
B09,1,0.0
F06,1,0.0
B07,0,0.0
A07,1,0.0
B10,0,0.0
B06,1,0.0
G07,0,0.0
E08,1,0.0
D05,0,0.0
G05,1,0.0
E09,1,0.0
F10,0,0.0
A05,1,0.0
C08,1,0.0
G06,0,57.33461857712683
D06,0,0.0
G09,0,0.0
G08,1,74.22681285055543
G10,0,0.0
A10,1,0.0
C06,1,0.0
