tile,ch,gain_dB
B10,0,0.0
E07,0,0.0
B06,0,0.0
G08,0,73.75364904092066
D09,0,0.0
C07,1,0.0
F06,0,0.0
F09,1,0.0
A08,1,73.98192646607461
C05,1,0.0
A05,0,0.0
C09,1,59.915214505612376
G06,0,71.78285070754748
D06,0,0.0
E10,0,0.0
G10,0,0.0
E05,0,0.0
B08,0,0.0
A10,0,0.0
F08,1,0.0
F05,1,0.0
E09,0,0.0
D08,0,68.00541361750224
D05,1,0.0
C06,1,0.0
A07,0,58.85020932115243
F10,1,0.0
D10,0,0.0
C10,1,0.0
A09,0,0.0
B07,0,0.0
B05,0,0.0
C08,1,0.0
E08,0,0.0
G05,0,0.0
D07,0,72.01823453435617
F07,1,0.0
E06,0,57.15644406739167
G07,0,0.0
G09,0,0.0
B09,1,0.0
A06,0,72.61395550119127
B08,1,0.0
B06,1,0.0
F06,1,0.0
A09,1,0.0
B09,0,0.0
F07,0,62.80283019544382
D05,0,0.0
A08,0,0.0
