tile,ch,gain_dB
B05,0,0.0
F09,1,0.0
C08,0,58.562996066883905
E06,0,0.0
A10,0,0.0
G05,0,0.0
D07,0,72.29939323571499
C10,1,0.0
A07,1,75.64487043130475
B08,0,0.0
F06,1,0.0
E10,0,0.0
G07,0,0.0
G09,0,0.0
D06,0,0.0
C05,1,0.0
E08,0,20.993307463055675
D10,0,0.0
A05,0,0.0
B10,0,0.0
A09,0,68.02974529773749
D08,0,67.38710090892864
G06,0,71.87791803768405
F10,1,0.0
E09,0,0.0
F07,1,61.16964781037116
C09,1,0.0
C06,1,61.465148685718994
A06,0,0.0
F05,1,0.0
B09,0,0.0
F08,1,55.5641619143469
G08,0,73.77167089783899
G10,0,0.0
E05,0,0.0
B07,0,0.0
D05,0,0.0
E07,0,0.0
D09,0,0.0
