tile,ch,gain_dB
B10,0,0.0
F09,1,0.0
B05,0,0.0
E06,0,0.0
G08,0,73.8292675948974
C09,1,0.0
A09,1,0.0
G05,0,0.0
A07,0,0.0
D08,0,68.67884752540088
C06,1,0.0
F06,1,0.0
E09,0,0.0
G10,0,0.0
D05,1,0.0
B07,1,0.0
A05,1,0.0
G06,1,72.3479455968185
D10,0,0.0
F08,0,0.0
B09,0,0.0
E07,0,0.0
C07,1,0.0
A10,0,0.0
D07,0,70.89486274625884
C10,1,0.0
E10,0,0.0
A06,0,0.0
F05,1,0.0
B08,0,0.0
C05,1,0.0
G09,0,0.0
E05,0,0.0
D06,0,0.0
G07,0,0.0
D09,0,0.0
F10,0,0.0
C08,1,0.0
E08,0,56.26720279560498
B06,1,0.0
F06,0,0.0
A08,1,74.07045418593083
F07,0,0.0
B09,1,0.0
A07,1,0.0
A09,0,0.0
B07,0,0.0
B06,0,0.0
A06,1,72.14748337185205
F08,1,0.0
D05,0,0.0
B08,1,0.0
F10,1,0.0
F07,1,0.0
C06,0,56.920263760101506
A08,0,0.0
E07,1,0.0
A05,0,0.0
C07,0,66.5112070304263
F09,0,0.0
G06,0,0.0
