tile,ch,gain_dB
B05,0,0.0
G08,1,66.92145923598403
C09,1,0.0
E05,0,0.0
E08,0,0.0
A08,0,70.53488182745919
F08,1,0.0
G05,0,0.0
D06,0,0.0
C07,1,0.0
A06,0,0.0
B08,0,0.0
A10,0,0.0
F06,1,0.0
E10,0,0.0
D09,0,0.0
F10,1,0.0
C06,1,0.0
G10,1,0.0
B09,1,0.0
D07,0,71.84548798053288
F07,0,0.0
G06,0,68.91362665549457
E06,0,0.0
C05,1,0.0
E07,0,0.0
B06,0,0.0
A05,0,0.0
D10,0,0.0
B10,0,0.0
F09,1,0.0
A07,0,0.0
C10,1,0.0
G09,0,0.0
D05,0,0.0
D08,0,66.1549983384153
G07,0,0.0
E09,0,0.0
F05,1,0.0
C08,1,60.14037853681718
B07,0,0.0
A09,0,0.0
C06,0,62.72582337780106
B09,0,0.0
D09,1,59.00665410397601
A07,1,75.05972956087027
B08,1,0.0
F07,1,0.0
G10,0,0.0
G07,1,72.26001370655776
G08,0,70.90344261564526
