tile,ch,gain_dB
E05,0,0.0
B09,0,0.0
E10,0,0.0
B05,0,0.0
G08,0,73.76916327220634
A08,0,70.44281621229652
D09,0,0.0
C05,1,0.0
F06,0,0.0
D05,0,0.0
E07,0,65.440848838339
C09,1,0.0
A06,0,0.0
G06,0,71.87691679232643
G10,0,0.0
D07,0,71.4088564361271
A10,0,0.0
F09,1,0.0
B07,0,0.0
E08,0,60.47132457387395
C08,1,0.0
A05,0,0.0
F10,1,0.0
B10,0,0.0
F08,1,0.0
B08,0,0.0
D06,0,0.0
G05,0,0.0
F05,1,0.0
C10,1,0.0
G09,0,0.0
G07,0,0.0
E06,0,0.0
D10,0,0.0
D08,0,66.34807301155931
E09,0,0.0
C07,1,0.0
B06,0,0.0
A09,0,0.0
A07,0,75.51389407189332
