tile,ch,gain_dB
D05,0,0.0
F07,1,0.0
B09,0,0.0
D08,0,68.86346350878145
F10,1,0.0
A06,0,0.0
E06,0,0.0
E09,0,51.36133573585346
C06,1,63.25103811483198
C09,1,0.0
G09,0,0.0
G07,0,0.0
A09,0,0.0
B05,1,0.0
G05,0,0.0
D10,0,0.0
F05,1,0.0
A05,0,0.0
F09,1,0.0
B07,0,0.0
C10,1,0.0
C07,1,0.0
B10,0,0.0
E07,0,0.0
G06,1,71.90280015962576
A07,1,75.02579092064222
F06,1,0.0
G10,0,0.0
E10,0,0.0
A10,0,0.0
C05,1,0.0
D06,0,0.0
A08,0,70.64978958611971
E05,0,0.0
D09,0,0.0
E08,0,0.0
G08,0,73.83266819570488
B06,0,0.0
C08,1,0.0
D07,0,71.40423129973072
F08,1,0.0
B08,0,0.0
B05,0,0.0
A07,0,0.0
G06,0,61.862093893826284
