tile,ch,gain_dB
B10,1,0.0
E07,0,0.0
C06,1,0.0
G07,0,0.0
A07,0,58.56104332997927
F09,1,0.0
D10,0,0.0
D06,0,0.0
F05,1,0.0
G09,0,0.0
C09,1,0.0
E10,0,0.0
B06,0,0.0
A09,0,0.0
B08,0,0.0
D08,0,0.0
E05,0,0.0
A05,0,0.0
G05,0,0.0
F08,1,0.0
B09,0,0.0
E08,0,59.63061944375979
C07,1,0.0
A10,0,0.0
G10,0,0.0
G06,0,71.87285961613031
C10,1,0.0
C05,1,0.0
F07,1,61.42743714142988
G08,0,73.78160292386956
D05,0,0.0
F10,1,0.0
B05,0,0.0
D07,0,72.18659201304527
E06,0,0.0
D09,0,0.0
C08,1,0.0
A07,1,0.0
F06,1,0.0
B07,0,0.0
E09,0,0.0
A08,1,73.25465506520322
A06,0,0.0
A06,1,72.09107762077434
B10,0,0.0
A08,0,66.73528603595261
B06,1,0.0
F09,0,0.0
F06,0,0.0
C09,0,0.0
C06,0,61.139652497901935
D08,1,67.91592264303151
E09,1,0.0
