tile,ch,gain_dB
E05,0,0.0
A07,0,75.51420824708302
F09,1,0.0
C10,0,0.0
D05,1,0.0
G06,0,71.87760140278546
B05,0,0.0
A10,0,0.0
E08,1,61.14046526643804
F06,1,0.0
B09,0,0.0
C07,1,0.0
A05,0,0.0
G10,0,0.0
D09,0,0.0
D07,0,71.40671061051714
C08,1,0.0
E10,0,0.0
G08,0,73.77826001736116
B10,0,0.0
B08,0,0.0
D10,0,0.0
C05,1,0.0
C06,1,0.0
G05,0,0.0
F08,1,0.0
A09,0,0.0
D08,0,66.07745018648532
E07,0,65.46058371903828
G07,0,0.0
G09,0,0.0
F05,1,0.0
A06,0,0.0
A08,0,70.44468695778276
F10,1,0.0
F07,1,0.0
E06,0,0.0
B07,0,0.0
