tile,ch,gain_dB
F08,1,0.0
B07,1,0.0
D10,0,0.0
E06,0,0.0
B10,1,0.0
G08,0,73.75511411762417
D07,0,72.26879293514784
F05,1,0.0
A07,1,0.0
C08,1,58.94676599815774
C05,1,0.0
E08,0,0.0
G05,0,0.0
A10,0,0.0
F10,1,0.0
A06,0,0.0
E10,0,0.0
B05,0,0.0
D05,0,0.0
C09,1,0.0
A05,0,0.0
G06,0,71.87678994474093
G10,0,0.0
G09,0,0.0
A08,0,0.0
D08,0,67.30294998874733
B08,1,0.0
E05,0,0.0
C10,1,0.0
C06,1,0.0
F07,1,61.162750925942866
E09,0,0.0
D09,0,0.0
E07,0,0.0
B09,0,0.0
F09,1,0.0
G07,0,0.0
A09,0,0.0
D06,0,0.0
C07,1,64.08226288454486
F06,1,0.0
B06,0,0.0
D06,1,0.0
B06,1,0.0
A06,1,72.16265360996732
F09,0,0.0
D05,1,0.0
A08,1,74.0561276115468
B08,0,0.0
B10,0,0.0
F08,0,56.733400901841364
A07,0,0.0
B09,1,0.0
A09,1,0.0
B07,0,0.0
