tile,ch,gain_dB
C06,1,0.0
G09,0,0.0
E07,0,0.0
A10,0,0.0
D09,1,0.0
B06,1,0.0
F07,0,0.0
E10,0,0.0
D05,0,0.0
B09,1,0.0
G06,0,0.0
C09,0,0.0
A07,1,0.0
F09,1,0.0
F05,1,0.0
A05,1,0.0
D08,0,67.67272479584362
E06,0,0.0
G07,0,0.0
E08,0,61.73889691505013
B07,0,0.0
C08,1,0.0
D06,0,0.0
G10,0,0.0
E05,0,0.0
A09,0,0.0
A06,0,0.0
B05,1,0.0
C05,1,0.0
G05,0,0.0
F10,0,0.0
C10,1,0.0
B10,0,0.0
F08,0,0.0
D10,0,0.0
C07,1,0.0
D07,1,72.29029092629067
G08,0,73.81162059611785
E09,0,0.0
B08,0,0.0
A08,0,65.19580951684267
F06,1,0.0
F10,1,0.0
B09,0,0.0
A08,1,73.46160160663362
A07,0,60.738450834565384
F09,0,0.0
B06,0,0.0
F07,1,0.0
B08,1,0.0
A06,1,72.04361008751079
A05,0,0.0
C07,0,0.0
B07,1,0.0
F08,1,0.0
D07,0,44.139418468141905
B05,0,0.0
G06,1,72.36008911534975
A09,1,0.0
D09,0,0.0
F06,0,0.0
A10,1,0.0
C09,1,0.0
