tile,ch,gain_dB
C08,1,0.0
G08,0,73.79999084361927
A07,0,61.39064817674274
E05,0,0.0
F09,1,0.0
E09,0,0.0
B10,1,0.0
C05,1,0.0
F06,1,0.0
B07,0,0.0
G05,0,0.0
D05,0,0.0
D10,0,0.0
A05,0,0.0
D07,0,72.03401363375703
A10,0,0.0
C10,1,0.0
B05,0,0.0
G10,0,0.0
E07,0,61.95263578385307
B08,0,0.0
G07,0,0.0
C07,1,0.0
A08,0,0.0
E10,0,0.0
D06,0,0.0
G09,0,0.0
F08,1,0.0
D09,0,0.0
D08,0,67.48066174008858
C09,1,60.692481078907505
C06,1,0.0
F10,1,0.0
F05,1,0.0
E06,0,0.0
A09,0,0.0
G06,0,71.87698831832427
E08,0,0.0
B08,1,0.0
A06,0,72.54093446702898
B06,0,0.0
A08,1,73.92921591871122
F07,1,58.707725581656895
