tile,ch,gain_dB
G07,0,0.0
B09,1,0.0
D07,1,65.03521664169075
A05,0,0.0
F09,1,0.0
E05,0,0.0
E10,0,0.0
B07,0,0.0
C06,1,0.0
C10,1,0.0
G09,0,0.0
E07,0,66.70223142020518
F07,0,0.0
A07,0,75.5213397423483
A10,0,0.0
G06,0,71.86885028778917
D10,0,0.0
D05,0,0.0
C08,1,0.0
B05,0,0.0
F05,1,0.0
E08,0,60.601813023164574
D09,0,68.00027036893916
F10,1,0.0
G05,0,0.0
A08,0,70.4378233380643
C09,1,0.0
C05,1,0.0
G08,0,73.75981005960645
B10,0,0.0
D06,0,68.79940534327184
C07,1,0.0
B06,0,0.0
F08,1,0.0
G10,0,0.0
A09,0,0.0
A06,0,0.0
