tile,ch,gain_dB
F08,0,0.0
B09,0,0.0
C08,1,44.68756118455304
A06,0,0.0
E05,0,0.0
G05,1,0.0
D06,0,0.0
D09,0,0.0
E09,0,0.0
G09,0,0.0
A10,0,0.0
A08,1,73.91888580950565
B06,0,0.0
F06,1,0.0
F09,1,0.0
C06,1,0.0
G07,0,0.0
E08,0,0.0
C09,1,0.0
D07,0,0.0
F10,0,0.0
E07,0,0.0
B07,0,0.0
D05,0,0.0
A05,0,0.0
C10,1,0.0
B10,1,0.0
E10,0,0.0
A09,0,0.0
C05,1,0.0
B05,0,0.0
D10,0,0.0
B08,0,0.0
G10,0,0.0
C07,1,0.0
G06,0,71.88674296986336
D08,0,0.0
G08,0,0.0
F05,1,0.0
E06,0,62.2503899120191
F07,1,0.0
A07,1,0.0
A07,0,63.479868358042644
G08,1,74.23702592714423
A06,1,71.91879000642827
A09,1,0.0
D08,1,67.52819858597998
E09,1,0.0
B10,0,0.0
A08,0,0.0
D07,1,72.15579465220196
G05,0,0.0
F08,1,0.0
F10,1,0.0
